date,rate,days
31/12/2019,1.54263,1
30/12/2019,1.53438,1
27/12/2019,1.53625,1
24/12/2019,1.53313,1
23/12/2019,1.5345,1
20/12/2019,1.53663,1
19/12/2019,1.534,1
18/12/2019,1.5335,1
17/12/2019,1.53563,1
16/12/2019,1.53063,1
13/12/2019,1.52988,1
12/12/2019,1.53375,1
11/12/2019,1.52538,1
10/12/2019,1.529,1
09/12/2019,1.53663,1
06/12/2019,1.52913,1
05/12/2019,1.52938,1
04/12/2019,1.5295,1
03/12/2019,1.5385,1
02/12/2019,1.54063,1
29/11/2019,1.5425,1
27/11/2019,1.53963,1
26/11/2019,1.538,1
25/11/2019,1.53613,1
22/11/2019,1.53388,1
21/11/2019,1.54138,1
20/11/2019,1.529,1
19/11/2019,1.53688,1
18/11/2019,1.53538,1
15/11/2019,1.53675,1
14/11/2019,1.527,1
13/11/2019,1.539,1
12/11/2019,1.53925,1
08/11/2019,1.53863,1
07/11/2019,1.54363,1
06/11/2019,1.5365,1
05/11/2019,1.54713,1
04/11/2019,1.55088,1
01/11/2019,1.59213,1
31/10/2019,1.59988,1
30/10/2019,1.80438,1
29/10/2019,1.801,1
28/10/2019,1.80163,1
25/10/2019,1.806,1
24/10/2019,1.80275,1
23/10/2019,1.814,1
22/10/2019,1.81288,1
21/10/2019,1.81113,1
18/10/2019,1.81513,1
17/10/2019,1.83813,1
16/10/2019,1.82575,1
15/10/2019,1.79513,1
11/10/2019,1.79888,1
10/10/2019,1.79263,1
09/10/2019,1.79,1
08/10/2019,1.8055,1
07/10/2019,1.80825,1
04/10/2019,1.82075,1
03/10/2019,1.82238,1
02/10/2019,1.85125,1
01/10/2019,1.82613,1
30/09/2019,1.8215,1
27/09/2019,1.82713,1
26/09/2019,1.82988,1
25/09/2019,1.84075,1
24/09/2019,1.842,1
23/09/2019,1.8475,1
20/09/2019,1.8685,1
19/09/2019,1.96213,1
18/09/2019,2.18525,1
17/09/2019,2.15488,1
16/09/2019,2.11163,1
13/09/2019,2.09475,1
12/09/2019,2.08825,1
11/09/2019,2.0945,1
10/09/2019,2.0925,1
09/09/2019,2.09388,1
06/09/2019,2.09475,1
05/09/2019,2.09763,1
04/09/2019,2.09125,1
03/09/2019,2.09063,1
30/08/2019,2.08963,1
29/08/2019,2.095,1
28/08/2019,2.08663,1
27/08/2019,2.09575,1
23/08/2019,2.08838,1
22/08/2019,2.09363,1
21/08/2019,2.093,1
20/08/2019,2.097,1
19/08/2019,2.09538,1
16/08/2019,2.0985,1
15/08/2019,2.09588,1
14/08/2019,2.09213,1
13/08/2019,2.09825,1
12/08/2019,2.10275,1
09/08/2019,2.09538,1
08/08/2019,2.09525,1
07/08/2019,2.09938,1
06/08/2019,2.09713,1
05/08/2019,2.10513,1
02/08/2019,2.10425,1
01/08/2019,2.11225,1
31/07/2019,2.35163,1
30/07/2019,2.347,1
29/07/2019,2.34863,1
26/07/2019,2.35038,1
25/07/2019,2.349,1
24/07/2019,2.35225,1
23/07/2019,2.35375,1
22/07/2019,2.35963,1
19/07/2019,2.362,1
18/07/2019,2.36063,1
17/07/2019,2.36275,1
16/07/2019,2.35663,1
15/07/2019,2.35713,1
12/07/2019,2.35913,1
11/07/2019,2.359,1
10/07/2019,2.35475,1
09/07/2019,2.35013,1
08/07/2019,2.35688,1
05/07/2019,2.34825,1
03/07/2019,2.35638,1
02/07/2019,2.35138,1
01/07/2019,2.35975,1
28/06/2019,2.37038,1
27/06/2019,2.35488,1
26/06/2019,2.354,1
25/06/2019,2.34475,1
24/06/2019,2.34925,1
21/06/2019,2.3475,1
20/06/2019,2.3415,1
19/06/2019,2.34088,1
18/06/2019,2.3495,1
17/06/2019,2.34438,1
14/06/2019,2.34663,1
13/06/2019,2.3505,1
12/06/2019,2.35038,1
11/06/2019,2.35088,1
10/06/2019,2.345,1
07/06/2019,2.35175,1
06/06/2019,2.346,1
05/06/2019,2.34538,1
04/06/2019,2.36,1
03/06/2019,2.36075,1
31/05/2019,2.3545,1
30/05/2019,2.35775,1
29/05/2019,2.356,1
28/05/2019,2.35388,1
24/05/2019,2.3565,1
23/05/2019,2.35625,1
22/05/2019,2.3545,1
21/05/2019,2.35538,1
20/05/2019,2.35938,1
17/05/2019,2.35575,1
16/05/2019,2.35938,1
15/05/2019,2.34913,1
14/05/2019,2.34338,1
13/05/2019,2.34513,1
10/05/2019,2.35638,1
09/05/2019,2.35888,1
08/05/2019,2.36275,1
07/05/2019,2.36313,1
03/05/2019,2.37788,1
02/05/2019,2.37313,1
01/05/2019,2.39188,1
30/04/2019,2.37913,1
29/04/2019,2.38975,1
26/04/2019,2.4,1
25/04/2019,2.39938,1
24/04/2019,2.39413,1
23/04/2019,2.40275,1
18/04/2019,2.39113,1
17/04/2019,2.38563,1
16/04/2019,2.38913,1
15/04/2019,2.39263,1
12/04/2019,2.39225,1
11/04/2019,2.3885,1
10/04/2019,2.3885,1
09/04/2019,2.393,1
08/04/2019,2.39175,1
05/04/2019,2.39375,1
04/04/2019,2.39413,1
03/04/2019,2.38613,1
02/04/2019,2.38025,1
01/04/2019,2.38813,1
29/03/2019,2.382,1
28/03/2019,2.39275,1
27/03/2019,2.39213,1
26/03/2019,2.39388,1
25/03/2019,2.38938,1
22/03/2019,2.389,1
21/03/2019,2.38725,1
20/03/2019,2.38625,1
19/03/2019,2.39013,1
18/03/2019,2.38963,1
15/03/2019,2.39038,1
14/03/2019,2.39038,1
